province_code,province_name,lgu_psgc,lgu_name,lgu_aliases,lgu_type,population_2020,land_area_km2,pop_source
PH040200000,Laguna,043425000,San Pedro,,city,326001,24.05,cph2020
PH040200000,Laguna,043426000,Santa Cruz,Sta. Cruz|Sta Cruz,municipality,123574,38.59,cph2020
PH040200000,Laguna,043427000,Santa Maria,Sta. Maria|Sta Maria,municipality,34511,108.4,cph2020
PH040200000,Laguna,043428000,Santa Rosa,Sta. Rosa|Sta Rosa,city,414812,54.84,cph2020
PH040200000,Laguna,043429000,Siniloan,,municipality,39460,64.51,cph2020
PH040200000,Laguna,043430000,Victoria,,municipality,43408,22.35,cph2020
PH040300000,Quezon,045601000,Agdangan,,municipality,12764,31.54,cph2020
PH040300000,Quezon,045602000,Alabat,,municipality,15936,57.61,cph2020
PH040300000,Quezon,045603000,Atimonan,,municipality,64260,239.66,cph2020
PH040300000,Quezon,045605000,Buenavista,,municipality,31160,161.35,cph2020
PH040300000,Quezon,045606000,Burdeos,,municipality,24644,199.82,cph2020
PH040300000,Quezon,045607000,Calauag,,municipality,71809,324.71,cph2020
PH040300000,Quezon,045608000,Candelaria,,municipality,137881,129.1,cph2020
PH040300000,Quezon,045610000,Catanauan,,municipality,72752,253.07,cph2020
PH040300000,Quezon,045615000,Dolores,,municipality,32514,62.6,cph2020
PH040300000,Quezon,045616000,General Luna,Gen. Luna,municipality,24804,101.02,cph2020
PH040300000,Quezon,045617000,General Nakar,Gen. Nakar,municipality,34225,1343.75,cph2020
PH040300000,Quezon,045618000,Guinayangan,,municipality,44045,214.12,cph2020
PH040300000,Quezon,045619000,Gumaca,,municipality,71942,189.65,cph2020
PH040300000,Quezon,045620000,Infanta,,municipality,76186,342.76,cph2020
PH040300000,Quezon,045621000,Jomalig,,municipality,7667,53.93,cph2020
PH040300000,Quezon,045622000,Lopez,,municipality,94657,355.38,cph2020
PH040300000,Quezon,045623000,Lucban,,municipality,53091,130.46,cph2020
PH040300000,Quezon,045624000,Lucena,,city,278924,71.55,cph2020
PH040300000,Quezon,045625000,Macalelon,,municipality,27312,124.05,cph2020
PH040300000,Quezon,045627000,Mauban,,municipality,71081,415.98,cph2020
PH040300000,Quezon,045628000,Mulanay,,municipality,55576,420.0,cph2020
PH040300000,Quezon,045629000,Padre Burgos,Pdre. Burgos,municipality,23488,69.1,cph2020
PH040300000,Quezon,045630000,Pagbilao,,municipality,78700,170.96,cph2020
PH040300000,Quezon,045631000,Panukulan,,municipality,16376,226.61,cph2020
PH040300000,Quezon,045632000,Patnanungan,,municipality,15052,139.2,cph2020
PH040300000,Quezon,045633000,Perez,,municipality,12767,57.46,cph2020
PH040300000,Quezon,045634000,Pitogo,,municipality,22798,73.39,cph2020
PH040300000,Quezon,045635000,Plaridel,,municipality,10129,18.19,cph2020
PH040300000,Quezon,045636000,Polillo,,municipality,31908,253.0,cph2020
PH040300000,Quezon,045637000,Quezon,,municipality,15886,71.22,cph2020
PH040300000,Quezon,045638000,Real,,municipality,38678,337.92,cph2020
PH040300000,Quezon,045639000,Sampaloc,,municipality,13629,104.78,cph2020
PH040300000,Quezon,045640000,San Andres,,municipality,37454,172.93,cph2020
PH040300000,Quezon,045641000,San Antonio,,municipality,35891,60.99,cph2020
PH040300000,Quezon,045642000,San Francisco,,municipality,62097,303.96,cph2020
PH040300000,Quezon,045644000,San Narciso,,municipality,51058,263.58,cph2020
PH040300000,Quezon,045645000,Sariaya,,municipality,161868,212.16,cph2020
PH040300000,Quezon,045646000,Tagkawayan,,municipality,54003,534.35,cph2020
PH040300000,Quezon,045647000,Tayabas,,city,112658,230.95,cph2020
PH040300000,Quezon,045648000,Tiaong,,municipality,106265,168.38,cph2020
PH040300000,Quezon,045649000,Unisan,,municipality,25448,124.15,cph2020
PH040400000,Rizal,045801000,Angono,,municipality,130494,26.22,cph2020
PH040400000,Rizal,045802000,Antipolo,,city,887399,306.1,cph2020
PH040400000,Rizal,045803000,Baras,,municipality,87637,84.93,cph2020
PH040400000,Rizal,045804000,Binangonan,,municipality,313631,66.34,cph2020
PH040400000,Rizal,045805000,Cainta,,municipality,376933,42.99,cph2020
PH040400000,Rizal,045806000,Cardona,,municipality,50143,19.27,cph2020
PH040400000,Rizal,045807000,Jala-Jala,Jalajala|Jala Jala,municipality,34017,44.12,cph2020
PH040400000,Rizal,045809000,Morong,,municipality,71151,37.58,cph2020
PH040400000,Rizal,045810000,Pililla,,municipality,71535,69.95,cph2020
PH040400000,Rizal,045808000,Rodriguez,,municipality,443954,172.65,cph2020
PH040400000,Rizal,045811000,San Mateo,,municipality,273306,55.09,cph2020
PH040400000,Rizal,045812000,Tanay,,municipality,139420,200.0,cph2020
PH040400000,Rizal,045813000,Taytay,,municipality,386451,38.8,cph2020
PH040400000,Rizal,045814000,Teresa,,municipality,64072,18.61,cph2020
